ibge_code;municipality;join_key
3503901;ARUJÁ;ARUJA
3505708;BARUERI;BARUERI
3506607;BIRITIBA-MIRIM;BIRITIBA MIRIM
3509007;CAIEIRAS;CAIEIRAS
3509205;CAJAMAR;CAJAMAR
3510609;CARAPICUÍBA;CARAPICUIBA
3513009;COTIA;COTIA
3513801;DIADEMA;DIADEMA
3515004;EMBU DAS ARTES;EMBU DAS ARTES
3515103;EMBU-GUAÇU;EMBU GUACU
3515707;FERRAZ DE VASCONCELOS;FERRAZ DE VASCONCELOS
3516309;FRANCISCO MORATO;FRANCISCO MORATO
3516408;FRANCO DA ROCHA;FRANCO DA ROCHA
3518800;GUARULHOS;GUARULHOS
3522208;ITAPECERICA DA SERRA;ITAPECERICA DA SERRA
3522505;ITAPEVI;ITAPEVI
3523107;ITAQUAQUECETUBA;ITAQUAQUECETUBA
3525003;JANDIRA;JANDIRA
3526209;JUQUITIBA;JUQUITIBA
3528502;MAIRIPORÃ;MAIRIPORA
3529401;MAUÁ;MAUA
3530607;MOGI DAS CRUZES;MOGI DAS CRUZES
3534401;OSASCO;OSASCO
3539103;PIRAPORA DO BOM JESUS;PIRAPORA DO BOM JESUS
3539806;POÁ;POA
3543303;RIBEIRÃO PIRES;RIBEIRAO PIRES
3544103;RIO GRANDE DA SERRA;RIO GRANDE DA SERRA
3545001;SALESÓPOLIS;SALESOPOLIS
3547304;SANTANA DE PARNAÍBA;SANTANA DE PARNAIBA
3547809;SANTO ANDRÉ;SANTO ANDRE
3552502;SUZANO;SUZANO
3548708;SÃO BERNARDO DO CAMPO;SAO BERNARDO DO CAMPO
3548807;SÃO CAETANO DO SUL;SAO CAETANO DO SUL
3549953;SÃO LOURENÇO DA SERRA;SAO LOURENCO DA SERRA
3550308;SÃO PAULO;SAO PAULO
3552809;TABOÃO DA SERRA;TABOAO DA SERRA
