ibge_code;municipality;has_permits;has_irrigation;has_land_cover
3503901;ARUJÁ;TRUE;TRUE;TRUE
3505708;BARUERI;TRUE;FALSE;TRUE
3506607;BIRITIBA-MIRIM;TRUE;TRUE;TRUE
3509007;CAIEIRAS;TRUE;TRUE;TRUE
3509205;CAJAMAR;TRUE;FALSE;TRUE
3510609;CARAPICUÍBA;TRUE;TRUE;TRUE
3513009;COTIA;TRUE;TRUE;TRUE
3513801;DIADEMA;TRUE;FALSE;TRUE
3515004;EMBU DAS ARTES;TRUE;TRUE;TRUE
3515103;EMBU-GUAÇU;TRUE;TRUE;TRUE
3515707;FERRAZ DE VASCONCELOS;TRUE;TRUE;TRUE
3516309;FRANCISCO MORATO;TRUE;TRUE;TRUE
3516408;FRANCO DA ROCHA;TRUE;TRUE;TRUE
3518800;GUARULHOS;TRUE;TRUE;TRUE
3522208;ITAPECERICA DA SERRA;TRUE;TRUE;TRUE
3522505;ITAPEVI;TRUE;TRUE;TRUE
3523107;ITAQUAQUECETUBA;TRUE;FALSE;TRUE
3525003;JANDIRA;TRUE;FALSE;TRUE
3526209;JUQUITIBA;TRUE;TRUE;TRUE
3528502;MAIRIPORÃ;TRUE;TRUE;TRUE
3529401;MAUÁ;TRUE;TRUE;TRUE
3530607;MOGI DAS CRUZES;TRUE;TRUE;TRUE
3534401;OSASCO;TRUE;FALSE;TRUE
3539103;PIRAPORA DO BOM JESUS;TRUE;FALSE;TRUE
3539806;POÁ;TRUE;FALSE;TRUE
3543303;RIBEIRÃO PIRES;TRUE;TRUE;TRUE
3544103;RIO GRANDE DA SERRA;TRUE;FALSE;TRUE
3545001;SALESÓPOLIS;TRUE;TRUE;TRUE
3547304;SANTANA DE PARNAÍBA;TRUE;TRUE;TRUE
3547809;SANTO ANDRÉ;TRUE;TRUE;TRUE
3552502;SUZANO;TRUE;TRUE;TRUE
3548708;SÃO BERNARDO DO CAMPO;TRUE;TRUE;TRUE
3548807;SÃO CAETANO DO SUL;TRUE;TRUE;TRUE
3549953;SÃO LOURENÇO DA SERRA;TRUE;TRUE;TRUE
3550308;SÃO PAULO;TRUE;TRUE;TRUE
3552809;TABOÃO DA SERRA;TRUE;TRUE;TRUE
