ibge_code;municipality;use_purpose;source_type;n_permits;n_abstraction;n_impoundment;n_quantified;total_flow;total_volume
3503901;ARUJÁ;Abastecimento Público;surface;1;1;0;1;435,600000;3805401,60
3503901;ARUJÁ;Consumo Humano;surface;2;2;0;2;7,000000;18600,00
3503901;ARUJÁ;Indústria;groundwater;9;9;0;7;18,560000;102520,80
3503901;ARUJÁ;Indústria;surface;8;8;0;8;129,680000;462174,56
3503901;ARUJÁ;Irrigação;surface;3;3;0;3;152,700000;231480,00
3503901;ARUJÁ;Outras;groundwater;8;8;0;3;11,700000;59040,00
3503901;ARUJÁ;Outras;surface;7;6;1;6;47,200000;180002,80
3503901;ARUJÁ;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;34;0;34;0;0,000000;0,00
3505708;BARUERI;Abastecimento Público;groundwater;1;1;0;1;2,000000;14400,00
3505708;BARUERI;Abastecimento Público;surface;4;4;0;4;300,000000;2624400,00
3505708;BARUERI;Consumo Humano;groundwater;6;6;0;6;28,900000;135720,00
3505708;BARUERI;Consumo Humano;surface;9;8;1;8;133,000000;571075,00
3505708;BARUERI;Indústria;groundwater;15;15;0;10;314,200000;1782408,00
3505708;BARUERI;Mineração - Extração de Areia/Cascalho em Leito de Rio;groundwater;1;1;0;0;0,000000;0,00
3505708;BARUERI;Mineração - Extração de Areia/Cascalho em Leito de Rio;surface;3;3;0;2;19,800000;173404,80
3505708;BARUERI;Mineração - Outros Processos Extrativos;surface;1;1;0;1;0,360000;3153,60
3505708;BARUERI;Outras;groundwater;45;45;0;34;198,200000;1039994,88
3505708;BARUERI;Reservatório/Barramento/Regularização de Vazões para Usos Múltiplos;surface;23;0;23;0;0,000000;0,00
3506607;BIRITIBA-MIRIM;Abastecimento Público;groundwater;1;1;0;1;45,000000;327600,00
3506607;BIRITIBA-MIRIM;Abastecimento Público;surface;7;7;0;5;126720,000000;1098446400,00
3506607;BIRITIBA-MIRIM;Aquicultura em Tanque Escavado;groundwater;1;1;0;0;0,000000;0,00
3506607;BIRITIBA-MIRIM;Aquicultura em Tanque Escavado;surface;5;5;0;3;104,000000;108160,00
3506607;BIRITIBA-MIRIM;Consumo Humano;groundwater;2;2;0;2;5,330000;13303,68
3506607;BIRITIBA-MIRIM;Indústria;groundwater;1;1;0;0;0,000000;0,00
3506607;BIRITIBA-MIRIM;Indústria;surface;3;3;0;3;120,000000;134400,00
3506607;BIRITIBA-MIRIM;Irrigação;groundwater;8;8;0;4;20,340000;28020,00
3506607;BIRITIBA-MIRIM;Irrigação;surface;125;109;16;101;4273,060000;3593713,40
