"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"wef_nexus_watershed_alto_tiete.nlogox"
"base_convertion_calibration"
"09/11/2026 09:50:18:886 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","climate-scenario","governance-mode","efficiency-gain","hectares-per-farmer","solar-start-year","solar-innovation-coef","solar-imitation-coef","max-solar-adoption","no-pump-irrigation-frac","solar-pump-irrigation-frac","stress-threshold","restriction-strength","urban-pressure-coef","water-stress-exit-coef","warming-ssp245","warming-ssp585","et-sensitivity","climate-onset-year","initial-utilisation","native-release?","native-to-farming-share","base-conversion-rate","[step]","mean [water-stress] of municipalities","mean [water-stress-realised] of municipalities","sum [irrigation-demanded] of farmers","sum [irrigation-applied] of farmers","basin-abstraction-realised","count municipalities with [restriction-level > 0]","mean [restriction-level] of municipalities","count farmers with [has-solar-pump?]","100 * (sum [area-urban] of municipalities) / (sum [total-area] of municipalities)","100 * (sum [area-farming] of municipalities) / (sum [total-area] of municipalities)","count farmers","current-year","basin-wef-index","basin-water-index","basin-energy-index","basin-food-index"
"8","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.008","0","0","0","0","0","0","0","0","0","20.12354666050581","26.437877834326255","1918","1985","0","0","0","0"
"1","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.0013","0","0","0","0","0","0","0","0","0","20.123546660505802","26.437877834326247","1918","1985","0","0","0","0"
"9","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.0013","0","0","0","0","0","0","0","0","0","20.123546660505813","26.437877834326265","1918","1985","0","0","0","0"
"6","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.006","0","0","0","0","0","0","0","0","0","20.12354666050581","26.437877834326258","1918","1985","0","0","0","0"
"2","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.002","0","0","0","0","0","0","0","0","0","20.123546660505795","26.437877834326247","1918","1985","0","0","0","0"
"7","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.007","0","0","0","0","0","0","0","0","0","20.12354666050581","26.437877834326258","1918","1985","0","0","0","0"
"11","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.003","0","0","0","0","0","0","0","0","0","20.12354666050581","26.437877834326255","1918","1985","0","0","0","0"
"5","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.005","0","0","0","0","0","0","0","0","0","20.123546660505806","26.437877834326247","1918","1985","0","0","0","0"
"4","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.004","0","0","0","0","0","0","0","0","0","20.123546660505802","26.437877834326244","1918","1985","0","0","0","0"
"3","historical","fragmented","0","100","2013","0.003","0.25","0.2","0.55","0.95","0.8","0.5","0.5","0.3","1.4","2.1","0.04","2025","1.3","true","0.5","0.003","0","0","0","0","0","0","0","0","0","20.12354666050581","26.437877834326265","1918","1985","0","0","0","0"
